order_id,order_value,order_status,order_value_original,num_items,total_quantity,total_value,num_users,num_suppliers
order_43,362.87,Approved,12167.015506925796,4,13,362.87,4,3
order_44,1544.85,Approved,15180.010216503251,2,15,1544.8500000000001,4,2
order_45,1049.97,Approved,4909.806869257747,1,3,1049.97,4,1
order_46,29.99,Approved,12406.753431690478,1,1,29.99,4,1
order_47,339.88,Approved,5949.070041076727,4,16,339.88,4,4
order_48,449.97,Rejected,14620.706552394513,1,3,449.97,2,1
order_49,8.99,Approved,32148.537768955608,1,1,8.99,4,1
order_50,89.99,Approved,18876.776769534128,1,1,89.99,4,1
order_51,399.98,Approved,19138.86738872725,1,2,399.98,4,1
order_52,92.95,Approved,11265.844507802896,2,5,92.95,4,2
order_53,165.91,Approved,14081.913280406554,4,9,165.91,4,3
order_54,1775.9,Approved,46896.0747979122,3,10,1775.9,4,3
order_55,694.95,Approved,32753.733877083083,4,5,694.95,4,4
order_56,1127.89,Approved,30847.41927768242,3,11,1127.8899999999999,4,3
order_57,72.95,Approved,9385.793761706753,2,5,72.95,4,2
order_58,1649.82,Approved,36727.21309956711,4,18,1649.8200000000002,4,3
order_59,2387.88,Approved,9006.722194334492,4,12,2387.88,4,4
order_60,259.98,Approved,19593.316646124742,1,2,259.98,4,1
order_61,349.99,Approved,49486.644181193165,1,1,349.99,4,1
order_62,1248.88,Rejected,32359.98823285055,4,12,1248.88,3,3
order_63,279.9,Approved,28290.537444957667,2,10,279.9,4,2
order_64,999.95,Approved,34546.09829850386,1,5,999.95,4,1
order_65,561.91,Approved,42299.74408930067,5,9,561.9100000000001,4,4
order_66,107.92,Approved,39023.99566576599,2,8,107.92,4,2
order_67,349.99,Approved,12223.355526241114,1,1,349.99,4,1
order_68,135.98,Approved,2572.9119512978505,2,2,135.98,4,2
order_69,12.5,Approved,16457.199354895012,1,1,12.5,4,1
order_70,199.99,Approved,14119.302922809435,1,1,199.99,4,1
order_71,1469.94,Approved,11338.159335729997,2,6,1469.94,4,2
order_72,431.96,Approved,47202.57600241767,3,4,431.96000000000004,4,3
order_73,4927.77,Approved,43942.01369716077,4,23,4927.77,4,4
order_74,19.99,Approved,16419.21615912542,1,1,19.99,4,1
order_75,994.91,Approved,33116.49459944912,5,9,994.91,4,5
order_76,505.41,Approved,20385.963151972548,4,10,505.41,4,3
order_77,208.93,Approved,45812.83189728663,3,7,208.92999999999998,4,2
order_78,326.91,Approved,23483.740776782543,5,9,326.91,4,4
order_79,1399.96,Approved,13979.12815840457,1,4,1399.96,4,1
order_80,999.96,Approved,13084.74787700519,1,4,999.96,4,1
order_81,611.95,Approved,28507.03857399439,2,5,611.95,4,2
order_82,17.98,Approved,13874.338817623828,1,2,17.98,4,1
order_83,154.93,Approved,29644.713520953486,3,9,154.93,4,3
order_84,349.99,Rejected,44993.321296521375,1,1,349.99,2,1
order_85,711.89,Approved,20570.624751879466,4,11,711.89,4,3
order_86,489.93,Approved,11746.717198706883,1,7,489.93,4,1
order_87,999.96,Rejected,49879.3427182604,1,4,999.96,2,1
order_88,143.96,Approved,25966.78839014676,2,4,143.96,4,2
order_89,113.94,Approved,5454.5611965159005,1,6,113.94,4,1
order_90,506.94,Approved,3308.702395811994,2,6,506.94000000000005,4,2
order_91,641.85,Approved,6372.807387182298,3,15,641.85,4,3
order_92,52.98,Approved,31744.85604345141,2,2,52.980000000000004,4,2
order_93,401.91,Approved,39811.88885378524,2,9,401.91,4,2
order_94,51.96,Approved,21685.838373184517,1,4,51.96,4,1
order_95,312.91,Approved,4112.8576014458995,3,9,312.90999999999997,4,3
order_96,279.92,Approved,19699.345038820302,1,8,279.92,4,1
order_97,252.91,Approved,49809.94763176474,2,9,252.91,4,2
order_98,38.97,Approved,26926.602909857713,1,3,38.97,4,1
order_99,368.42,Approved,48582.84050306729,3,11,368.42,4,2
order_100,23.96,Approved,43178.20540949041,1,4,23.96,4,1
order_101,108.98,Approved,1562.5700751981622,2,2,108.97999999999999,4,2
order_102,1329.91,Rejected,36315.36914864954,2,9,1329.91,2,2
order_103,163.92,Approved,34403.80808230217,2,8,163.92000000000002,4,2
order_104,332.46,Approved,27311.546190030964,3,5,332.46,4,3
order_105,217.9,Approved,14074.434307674597,2,10,217.9,4,2
order_106,39.99,Approved,32407.128130410594,1,1,39.99,4,1
order_107,249.99,Rejected,6466.056506197945,1,1,249.99,2,1
order_108,59.96,Approved,22303.497282786146,2,4,59.959999999999994,4,2
order_109,2799.92,Approved,23232.461610131115,1,8,2799.92,4,1
order_110,116.91,Approved,47736.98044853293,1,9,116.91,4,1
order_111,329.98,Approved,43916.79407853151,2,2,329.98,4,2
order_112,399.98,Approved,13906.063486803447,1,2,399.98,4,1
order_113,945.9,Approved,25528.71953946462,3,10,945.9,4,3
order_114,1389.82,Approved,9753.942145976436,4,18,1389.8200000000002,4,4
order_115,587.42,Approved,45718.764127896204,3,11,587.4200000000001,4,3
order_116,177.96,Approved,43655.40992200158,2,4,177.95999999999998,4,2
order_117,2799.86,Approved,15623.794780983011,2,14,2799.86,4,2
order_118,69.99,Approved,32308.525248434253,1,1,69.99,4,1
order_119,199.99,Approved,30839.540360470444,1,1,199.99,4,1
order_120,689.82,Approved,8489.124158932105,5,18,689.82,4,5
order_121,44.97,Approved,38363.02920368241,2,3,44.97,4,2
order_122,1769.86,Approved,27429.57247586166,4,14,1769.8600000000001,4,4
order_123,659.87,Approved,39152.69745289735,5,13,659.87,4,4
order_124,627.44,Approved,26987.329937563696,2,13,627.44,4,2
order_125,326.94,Approved,1028.0229102692317,2,6,326.94000000000005,4,2
order_126,4629.85,Rejected,16883.64679322898,2,15,4629.849999999999,2,2
order_127,461.35,Approved,1954.3603769057827,5,22,461.35,4,4
order_128,60.97,Approved,46525.832196966236,2,3,60.97,4,2
order_129,12.5,Approved,44057.372013336026,1,1,12.5,4,1
order_130,849.85,Approved,41751.61093869779,5,15,849.85,4,5
order_131,135.93,Approved,16068.19214473041,2,7,135.93,4,2
order_132,296.93,Approved,3838.33315821519,2,7,296.93,4,2
order_133,16.99,Approved,44022.470360997984,1,1,16.99,4,1
order_134,489.41,Approved,47400.52281960171,3,16,489.41,4,3
order_135,131.9,Approved,5197.01915132606,2,10,131.9,4,2
order_136,142.94,Approved,24813.532702514076,3,6,142.94,4,2
order_137,714.92,Approved,4391.4134049507975,3,8,714.9200000000001,4,3
order_138,12.99,Rejected,38269.506097604346,1,1,12.99,2,1
order_139,269.97,Approved,38525.8870360424,1,3,269.97,4,1
order_140,62.99,Approved,7291.181760488377,2,5,62.99,4,2
order_141,649.95,Approved,24288.836526837833,1,5,649.95,4,1
order_142,53.97,Approved,27940.376081252252,2,3,53.97,4,2
order_143,139.98,Approved,13987.774818062897,1,2,139.98,4,1
order_144,112.96,Approved,43749.219013177615,3,4,112.96,4,3
order_145,2129.9,Approved,21733.759069843458,3,10,2129.9,4,3
order_146,212.98,Approved,11378.11206666202,2,2,212.98000000000002,4,2
order_147,649.95,Approved,27425.508350193457,1,5,649.95,4,1
order_148,204.94,Rejected,36766.62238540883,2,6,204.94,2,2
order_149,1915.92,Approved,10856.4021060951,3,8,1915.92,4,3
order_150,5360.88,Approved,16274.098273743853,4,12,5360.879999999999,4,4
order_151,33.98,Approved,49762.318476383836,1,2,33.98,4,1
order_152,265.83,Approved,32844.02482433322,5,19,265.83,4,4
order_153,1081.95,Approved,22466.904111810698,2,5,1081.95,4,2
order_154,3337.71,Approved,26361.21621074394,5,29,3337.71,4,5
order_155,249.99,Approved,6929.20559754502,1,1,249.99,4,1
order_156,1039.92,Approved,12010.16951454631,3,8,1039.92,4,3
order_157,3644.93,Approved,17566.192545225313,2,7,3644.93,4,2
order_158,158.89,Approved,29827.12720440443,2,11,158.89,4,2
order_159,1092.88,Approved,12275.621897232273,5,12,1092.88,4,4
order_160,619.91,Approved,11790.651838126414,3,9,619.9100000000001,4,3
order_161,439.91,Approved,4478.661214442594,3,9,439.90999999999997,4,3
order_162,133.43,Approved,31924.044906234845,3,8,133.43,4,2
order_163,64.95,Approved,12218.147406746564,1,5,64.95,4,1
order_164,33.98,Approved,45365.58063730027,1,2,33.98,4,1
order_165,134.94,Approved,43122.134612433576,2,6,134.94,4,2
order_166,1839.92,Approved,4472.010144544019,2,8,1839.92,4,2
order_167,499.98,Approved,12662.227084080765,1,2,499.98,4,1
order_168,518.97,Approved,33779.911136517745,2,3,518.97,4,2
order_169,1399.96,Approved,11497.60356115149,1,4,1399.96,4,1
order_170,699.98,Approved,7483.280587526225,1,2,699.98,4,1
order_171,94.95,Approved,46840.19778845288,1,5,94.95,4,1
order_172,259.98,Rejected,28981.11157293894,1,2,259.98,2,1
order_173,47.92,Approved,24160.880289277913,1,8,47.92,4,1
order_174,249.92,Approved,39446.35179024692,4,8,249.92000000000002,4,4
order_175,105.95,Approved,40567.352890565526,2,5,105.94999999999999,4,2
order_176,191.45,Approved,10330.085803732009,4,6,191.45,4,3
order_177,31.98,Approved,5749.609897212343,2,2,31.979999999999997,4,2
order_178,650.94,Approved,22121.507937912498,3,6,650.94,4,3
order_179,411.88,Approved,21755.35252797612,3,12,411.88,4,3
order_180,764.94,Approved,23884.208733797073,2,6,764.94,4,1
order_181,11.98,Approved,36724.71662353268,1,2,11.98,4,1
order_182,119.97,Approved,33994.86281737177,1,3,119.97,4,1
order_183,34.99,Approved,49224.09535693234,1,1,34.99,4,1
order_184,12.99,Approved,5822.475686445985,1,1,12.99,4,1
order_185,246.89,Approved,20728.44282301117,3,11,246.89,4,3
order_186,359.96,Approved,17625.827664353194,1,4,359.96,4,1
order_187,29.99,Approved,43221.95428128676,1,1,29.99,4,1
order_188,733.96,Approved,13184.160362093997,2,4,733.96,4,2
order_189,185.89,Approved,10320.236513599764,3,11,185.89,4,3
order_190,95.94,Approved,22982.063843823464,1,6,95.94,4,1
order_191,209.97,Approved,21672.200351885804,1,3,209.97,4,1
order_192,80.95,Approved,14648.712088680082,2,5,80.95,4,2
order_193,120.96,Approved,13240.515946222924,2,4,120.96,4,2
order_194,501.9,Approved,46240.01436452463,3,10,501.9,4,3
order_195,2559.88,Approved,22713.40650761939,3,12,2559.88,4,2
order_196,1049.93,Approved,43206.1061333297,1,7,1049.93,4,1
order_197,183.96,Approved,27965.940310042555,1,4,183.96,4,1
order_198,139.98,Approved,3478.8281467191805,1,2,139.98,4,1
order_199,719.92,Approved,49964.8409522236,1,8,719.92,4,1
order_200,15.99,Approved,41965.35166891764,1,1,15.99,4,1
order_201,1812.97,Approved,48480.81660695281,2,3,1812.97,4,2
order_202,680.88,Approved,46391.98216739825,5,12,680.88,4,5
order_203,749.97,Approved,42586.090986300966,1,3,749.97,4,1
order_204,159.96,Approved,9149.244419591787,1,4,159.96,4,1
order_205,449.92,Approved,24796.415147085205,3,8,449.92,4,3
order_206,25.98,Rejected,11473.617660759903,1,2,25.98,2,1
order_207,16.99,Approved,20650.97433492318,1,1,16.99,4,1
order_208,129.95,Approved,3873.1345986367674,2,5,129.95,4,2
order_209,34.99,Approved,19569.68282986889,1,1,34.99,4,1
order_210,1799.98,Approved,49280.133345206574,1,2,1799.98,4,1
order_211,94.94,Approved,13994.949850435445,3,6,94.94,4,2
order_212,1749.93,Approved,39419.459495479896,1,7,1749.93,4,1
order_213,629.93,Approved,23295.409999618023,1,7,629.93,4,1
order_214,3079.86,Approved,21727.366813517983,3,14,3079.86,4,3
order_215,599.97,Approved,47908.564402123986,1,3,599.97,4,1
order_216,762.94,Approved,49775.71178514298,2,6,762.94,4,2
order_217,1049.93,Approved,28232.647846875294,1,7,1049.93,4,1
order_218,69.98,Approved,36202.00548951997,1,2,69.98,4,1
order_219,199.99,Approved,8585.044438429142,1,1,199.99,4,1
order_220,50.0,Approved,15538.683449233646,1,4,50.0,4,1
order_221,741.38,Approved,48466.75888348878,5,17,741.38,4,5
order_222,3064.8,Approved,29379.834249996555,5,20,3064.7999999999997,4,4
order_223,625.95,Approved,27567.56486733944,2,5,625.95,4,2
order_224,34.99,Approved,37650.802458574144,1,1,34.99,4,1
order_225,1638.92,Approved,3801.0983724666708,3,8,1638.92,4,3
order_226,799.96,Approved,29624.70212848959,1,4,799.96,4,1
order_227,1093.89,Rejected,25639.668763056165,3,11,1093.89,2,3
order_228,1180.87,Approved,42783.274710365986,3,13,1180.8700000000001,4,3
order_229,179.95,Approved,8714.20366903468,2,5,179.95,4,2
order_230,179.98,Approved,48078.166260448066,1,2,179.98,4,1
order_231,158.43,Approved,4925.461796788757,3,14,158.43,4,3
order_232,606.88,Approved,10105.423088055437,3,12,606.88,4,3
order_233,363.93,Approved,30156.720216051355,2,7,363.93,4,2
order_234,134.91,Approved,34085.41512660042,1,9,134.91,4,1
order_235,64.95,Approved,12524.99085504563,2,5,64.95,4,2
order_236,31.98,Rejected,6874.444083409086,1,2,31.98,2,1
order_237,79.98,Approved,44624.07839234244,1,2,79.98,4,1
order_238,279.96,Approved,13064.552041642619,1,4,279.96,4,1
order_239,51.96,Approved,30131.43852313862,1,4,51.96,4,1
order_240,79.95,Approved,31349.69400627305,1,5,79.95,4,1
order_241,1399.97,Rejected,21542.02085145775,2,3,1399.97,2,2
order_242,199.99,Approved,29599.94217527001,1,1,199.99,4,1
order_243,1049.93,Approved,26616.353061065984,1,7,1049.93,4,1
order_244,104.96,Rejected,46800.606629084934,2,6,104.96,2,2
order_245,216.89,Approved,11008.700771753285,3,11,216.89000000000001,4,2
order_246,38.97,Approved,36093.39823868132,1,3,38.97,4,1
order_247,238.94,Approved,12695.611678176456,3,6,238.94,4,2
order_248,1125.91,Approved,20393.50649277147,5,9,1125.91,4,4
order_249,208.89,Approved,33912.82092503859,2,11,208.89,4,2
order_250,5437.44,Approved,15699.85691013935,2,9,5437.44,4,2
order_251,1303.84,Approved,16492.682617320846,2,16,1303.8400000000001,4,2
order_252,353.92,Approved,37841.36012830571,2,8,353.92,4,2
order_253,17.98,Approved,4554.612610164708,1,2,17.98,4,1
order_254,1689.87,Approved,23455.99060831072,3,13,1689.87,4,3
order_255,259.98,Approved,49924.26760186767,1,2,259.98,4,1
order_256,71.97,Approved,49808.72594489963,2,3,71.97,4,2
order_257,139.97,Approved,4589.775333882017,2,3,139.97,4,2
order_258,98.96,Rejected,11444.56130108498,2,4,98.96000000000001,2,2
order_259,8.99,Approved,13994.820322769667,1,1,8.99,4,1
order_260,269.92,Approved,46729.709521691744,2,8,269.91999999999996,4,2
order_261,1996.93,Approved,44162.344510635536,3,7,1996.93,4,3
order_262,4564.92,Approved,44084.24188174259,3,8,4564.919999999999,4,3
order_263,76.98,Approved,19106.827348205316,2,2,76.98,4,2
order_264,24.99,Approved,8729.594785504367,1,1,24.99,4,1
order_265,482.86,Approved,41853.50277735054,4,14,482.85999999999996,4,3
order_266,283.88,Approved,35473.45632928118,4,12,283.88,4,3
order_267,103.92,Approved,30972.210520571556,1,8,103.92,4,1
order_268,2753.94,Approved,49374.420117943715,3,6,2753.9399999999996,4,2
order_269,142.91,Approved,33044.8395678259,3,9,142.91,4,3
order_270,47.96,Approved,1383.3322504557395,2,4,47.96,4,2
order_271,269.97,Approved,41038.10262065762,1,3,269.97,4,1
order_272,38.97,Approved,15669.558857798917,1,3,38.97,4,1
order_273,119.97,Approved,33506.04703333779,2,3,119.97,4,2
order_274,74.97,Approved,47007.570192428095,1,3,74.97,4,1
order_275,143.92,Approved,7580.264605275018,2,8,143.92,4,2
order_276,2434.82,Approved,6656.004850536008,5,18,2434.82,4,5
order_277,658.91,Rejected,6244.762907761465,3,9,658.9100000000001,2,3
order_278,284.92,Approved,28107.95840335598,3,8,284.92,4,3
order_279,199.96,Approved,14345.062403426,2,4,199.95999999999998,4,2
order_280,12.5,Approved,30636.661524480973,1,1,12.5,4,1
order_281,25.98,Approved,36162.9971698011,1,2,25.98,4,1
order_282,1837.48,Approved,10976.268304045194,2,5,1837.48,4,2
order_283,549.85,Rejected,32077.659985368908,4,15,549.85,2,4
order_284,1061.93,Approved,13935.21117989006,3,11,1061.93,4,3
order_285,1120.82,Approved,24938.06075531945,4,18,1120.82,4,4
order_286,649.95,Approved,45361.48806288684,1,5,649.95,4,1
order_287,397.95,Approved,42459.081951447915,2,5,397.95000000000005,4,2
order_288,125.95,Approved,5522.624917923938,3,5,125.95,4,3
order_289,498.92,Approved,21755.21285562259,2,8,498.92,4,1
order_290,59.98,Approved,14557.330974640332,1,2,59.98,4,1
order_291,12.5,Approved,1173.7387653013327,1,1,12.5,4,1
order_292,247.96,Approved,38784.84192796173,2,4,247.96,4,2
order_293,1531.81,Approved,32218.5554877676,5,19,1531.8100000000002,4,4
order_294,683.92,Approved,13835.80785928306,4,8,683.92,4,4
order_295,1359.88,Approved,37320.31450904861,2,12,1359.88,4,2
order_296,794.92,Approved,28032.340635193174,2,8,794.9200000000001,4,2
order_297,2857.46,Approved,21956.659030053288,3,11,2857.4599999999996,4,3
order_298,389.92,Approved,1473.8152808086584,2,8,389.91999999999996,4,2
order_299,118.95,Rejected,4686.949143614585,2,5,118.95,2,2
order_300,149.9,Approved,44272.213271707005,3,10,149.89999999999998,4,3
order_301,313.85,Approved,45292.50000643476,3,15,313.85,4,2
order_302,179.98,Approved,27733.924171070594,1,2,179.98,4,1
order_303,870.8,Approved,41895.15597441482,5,20,870.8000000000001,4,4
order_304,329.96,Approved,29542.968757999908,3,4,329.96000000000004,4,3
order_305,25.0,Approved,8256.59549280665,1,2,25.0,4,1
order_306,39.98,Approved,7244.830444824799,1,2,39.98,4,1
order_307,779.94,Approved,16104.65914657655,1,6,779.94,4,1
order_308,47.97,Approved,45050.09294838691,1,3,47.97,4,1
order_309,1799.98,Approved,40009.99293951404,1,2,1799.98,4,1
order_310,375.44,Approved,43174.42651804424,4,7,375.44,4,3
order_311,1293.87,Approved,45047.307189797255,3,13,1293.8700000000001,4,2
order_312,548.95,Approved,11293.750378647948,3,5,548.95,4,3
order_313,2001.87,Approved,13226.957221923298,5,13,2001.8700000000001,4,5
order_314,237.97,Approved,6036.887461917496,2,3,237.97,4,2
order_315,359.95,Approved,39225.69585170069,2,5,359.95000000000005,4,2
order_316,64.95,Approved,44322.600371099434,1,5,64.95,4,1
order_317,89.97,Approved,20912.49210177372,1,3,89.97,4,1
order_318,914.98,Approved,31412.413997384927,2,2,914.98,4,2
order_319,429.96,Approved,8573.113578278027,3,4,429.96000000000004,4,3
order_320,149.99,Approved,46564.16976899005,1,1,149.99,4,1
order_321,899.99,Approved,43365.679114778235,1,1,899.99,4,1
order_322,44.97,Approved,48834.09561361718,1,3,44.97,4,1
order_323,865.84,Approved,40727.814277079444,5,16,865.84,4,5
order_324,349.95,Approved,44189.394028502895,1,5,349.95,4,1
order_325,299.98,Approved,2214.5317330112475,1,2,299.98,4,1
order_326,18.99,Approved,37091.65911599902,1,1,18.99,4,1
order_327,199.99,Approved,17277.087929375004,1,1,199.99,4,1
order_328,1088.95,Approved,46609.97841636795,3,5,1088.95,4,3
order_329,606.95,Approved,40309.52180791981,5,7,606.95,4,5
order_330,827.83,Approved,43339.13739038869,4,17,827.8299999999999,4,4
order_331,149.99,Approved,40726.71651214506,1,1,149.99,4,1
order_332,765.9,Rejected,14073.47977012913,3,10,765.9000000000001,2,3
order_333,419.94,Rejected,39581.350947638086,4,10,419.94000000000005,2,4
order_334,119.96,Approved,6296.685693744898,1,4,119.96,4,1
order_335,4040.81,Approved,43736.1723623984,5,19,4040.81,4,5
order_336,5.99,Approved,43071.0693155513,1,1,5.99,4,1
order_337,312.49,Approved,11899.252159737558,2,6,312.49,4,2
order_338,64.95,Approved,41012.74367424952,1,5,64.95,4,1
order_339,98.97,Approved,23554.85849926816,2,3,98.97,4,2
order_340,160.95,Rejected,15954.352499591429,3,5,160.95,2,2
order_341,161.45,Approved,39971.92945849023,3,8,161.45,4,3
order_342,17.97,Approved,12152.178882980748,1,3,17.97,4,1
order_343,3674.85,Approved,2159.5573003711243,4,15,3674.85,4,3
order_344,799.96,Approved,10463.359628057724,1,4,799.96,4,1
order_345,849.95,Approved,17084.83560868762,2,5,849.95,4,2
order_346,349.99,Approved,43353.29415948403,1,1,349.99,4,1
order_347,259.98,Approved,48377.566098369694,1,2,259.98,4,1
order_348,40.97,Approved,14677.124643371699,2,3,40.97,4,2
order_349,1749.93,Approved,32432.605191773757,1,7,1749.93,4,1
order_350,18.99,Approved,20584.240833642983,1,1,18.99,4,1
order_351,592.46,Approved,49076.334672714744,3,5,592.46,4,2
order_352,56.97,Approved,27274.570891457373,1,3,56.97,4,1
order_353,54.98,Rejected,47022.61987591107,2,2,54.980000000000004,2,2
order_354,239.94,Approved,6651.745840719952,1,6,239.94,4,1
order_355,291.97,Approved,48549.62994008917,2,3,291.97,4,2
order_356,4564.91,Approved,9749.822992450718,3,9,4564.91,4,3
order_357,4312.82,Rejected,48164.18147231622,4,18,4312.82,2,4
order_358,734.97,Rejected,14007.851763625462,2,3,734.97,2,2
order_359,729.86,Approved,6311.724813520844,5,14,729.86,4,5
order_360,205.96,Approved,22293.62416966757,2,4,205.95999999999998,4,1
order_361,39.99,Approved,36698.70797198251,1,1,39.99,4,1
order_362,25.49,Approved,16370.18839555457,2,2,25.490000000000002,4,2
order_363,35.96,Approved,30704.23381200102,1,4,35.96,4,1
order_364,38.97,Approved,26059.729923804425,1,3,38.97,4,1
order_365,69.99,Approved,19874.576233891632,1,1,69.99,4,1
order_366,45.99,Approved,29252.814131333376,1,1,45.99,4,1
order_367,346.88,Approved,13481.402800790514,4,12,346.88,4,4
order_368,699.98,Approved,35730.47890787436,1,2,699.98,4,1
order_369,884.91,Approved,1082.8726327128438,4,9,884.9100000000001,4,4
order_370,59.99,Approved,46353.18310945505,1,1,59.99,4,1
order_371,55.96,Approved,27384.147857546803,2,4,55.959999999999994,4,2
order_372,16.99,Approved,36252.06995809743,1,1,16.99,4,1
order_373,37.98,Approved,37355.55381413435,1,2,37.98,4,1
order_374,1145.85,Approved,33860.796717216974,4,15,1145.85,4,4
order_375,999.96,Approved,18846.852117281946,1,4,999.96,4,1
order_376,312.94,Approved,4428.716745189198,3,6,312.94,4,3
order_377,53.94,Approved,33547.64656065234,1,6,53.94,4,1
order_378,237.36,Approved,17179.80176608722,3,17,237.36,4,3
order_379,112.5,Approved,16381.866607859623,1,9,112.5,4,1
order_380,149.99,Approved,42552.74869581044,1,1,149.99,4,1
order_381,240.97,Approved,36267.95888768356,3,3,240.97000000000003,4,3
order_382,53.94,Approved,15715.791142351945,1,6,53.94,4,1
order_383,43.95,Approved,16154.94844822401,2,5,43.95,4,2
order_384,33.98,Rejected,21011.252522341627,1,2,33.98,2,1
order_385,74.97,Approved,20717.618965828507,1,3,74.97,4,1
order_386,105.97,Approved,15487.104923771403,2,3,105.97,4,2
order_387,159.96,Approved,7237.102153898508,1,4,159.96,4,1
order_388,409.84,Approved,21601.870354872506,2,16,409.84000000000003,4,2
order_389,14.99,Approved,47077.81986577897,1,1,14.99,4,1
order_390,210.93,Approved,34188.57931836391,2,7,210.93,4,2
order_391,301.86,Rejected,45237.47174089655,3,14,301.86,2,3
order_392,614.89,Approved,31160.230881617645,2,11,614.8900000000001,4,2
order_393,629.88,Rejected,15746.543853712701,4,12,629.88,2,3
order_394,449.97,Approved,27848.92344364921,1,3,449.97,4,1
order_395,149.99,Approved,1019.8910451670888,1,1,149.99,4,1
order_396,625.95,Approved,15058.772126577433,2,5,625.95,4,2
order_397,116.91,Approved,22064.519349501894,4,9,116.90999999999998,4,4
order_398,701.91,Approved,29419.254278588418,4,9,701.9100000000001,4,4
order_399,7199.92,Approved,33080.57556145051,1,8,7199.92,4,1
order_400,25.0,Approved,23784.421322103695,1,2,25.0,4,1
order_401,205.86,Approved,22665.830165935564,2,14,205.86,4,1
order_402,89.99,Approved,11471.368648465914,1,1,89.99,4,1
order_403,79.96,Approved,24186.123109556986,1,4,79.96,4,1
order_404,713.85,Approved,45157.860465584454,3,15,713.85,4,3
order_405,67.93,Approved,40005.21324621223,2,7,67.92999999999999,4,2
order_406,367.46,Approved,9314.878413704682,2,11,367.46,4,2
order_407,89.99,Approved,5154.981299530966,1,1,89.99,4,1
order_408,34.99,Rejected,26257.148485845606,1,1,34.99,2,1
order_409,5609.88,Approved,32014.10193252399,2,12,5609.879999999999,4,2
order_410,75.96,Approved,17424.224515080245,1,4,75.96,4,1
order_411,3019.91,Rejected,41102.749762296546,3,9,3019.9099999999994,2,3
order_412,34.99,Approved,37805.76873949588,1,1,34.99,4,1
order_413,390.91,Approved,33966.98785730119,3,9,390.90999999999997,4,3
order_414,479.92,Approved,12007.392633867124,1,8,479.92,4,1
order_415,1244.92,Approved,10757.366703602256,5,10,1244.92,4,4
order_416,139.92,Approved,2196.843998614491,3,8,139.92000000000002,4,3
order_417,149.99,Approved,12997.284659839157,1,1,149.99,4,1
order_418,922.85,Approved,24281.68086672145,4,15,922.85,4,4
order_419,59.98,Approved,42637.14703661187,1,2,59.98,4,1
