order_id,on_time_delivery,on_time_delivery_normalized,days_sales_outstanding,days_sales_outstanding_normalized,order_accuracy,order_accuracy_normalized,invoice_accuracy,invoice_accuracy_normalized,avg_cost_delivery,avg_cost_delivery_normalized
order_1027,87.08,0.8708,34,0.3778,96.9,0.969,89.54,0.8954,23.93,0.2393
order_1028,78.3,0.783,46,0.5111,89.28,0.8928,68.04,0.6804,33.48,0.3348
order_1029,87.33,0.8733,30,0.3333,93.81,0.9381,93.02,0.9302,22.55,0.2255
order_103,92.48,0.9248,32,0.3556,97.63,0.9763,91.21,0.9121,27.44,0.2744
order_1030,80.01,0.8001,36,0.4,68.5,0.685,73.86,0.7386,36.66,0.3666
order_1031,80.71,0.8071,44,0.4889,75.49,0.7549,63.23,0.6323,28.91,0.2891
order_1032,71.43,0.7143,46,0.5111,77.5,0.775,60.03,0.6003,39.04,0.3904
order_1033,91.16,0.9116,30,0.3333,94.38,0.9438,92.17,0.9217,19.71,0.1971
order_1034,77.86,0.7786,44,0.4889,83.58,0.8358,78.43,0.7843,29.73,0.2973
order_1035,87.19,0.8719,33,0.3667,95.28,0.9528,93.55,0.9355,29.71,0.2971
order_1036,91.71,0.9171,35,0.3889,96.39,0.9639,93.95,0.9395,21.37,0.2137
order_1037,92.28,0.9228,30,0.3333,93.41,0.9341,90.54,0.9054,22.16,0.2216
order_1038,96.94,0.9694,27,0.3,95.72,0.9572,87.16,0.8716,21.06,0.2106
order_1039,93.27,0.9327,32,0.3556,91.31,0.9131,89.85,0.8985,23.36,0.2336
order_104,69.16,0.6916,42,0.4667,76.32,0.7632,64.79,0.6479,50.86,0.5086
order_1040,91.9,0.919,27,0.3,94.47,0.9447,90.01,0.9001,23.7,0.237
order_1041,87.62,0.8762,32,0.3556,95.26,0.9526,94.6,0.946,19.6,0.196
order_1042,72.32,0.7232,38,0.4222,71.43,0.7143,84.12,0.8412,40.43,0.4043
order_1043,86.22,0.8622,34,0.3778,99.31,0.9931,95.1,0.951,18.96,0.1896
order_1044,71.13,0.7113,49,0.5444,71.05,0.7105,73.55,0.7355,42.65,0.4265
order_1045,87.22,0.8722,32,0.3556,85.9,0.859,88.93,0.8893,21.49,0.2149
order_1046,86.26,0.8626,36,0.4,90.42,0.9042,90.68,0.9068,22.26,0.2226
order_1047,94.32,0.9432,28,0.3111,96.91,0.9691,92.03,0.9203,20.04,0.2004
order_1048,78.7,0.787,42,0.4667,71.8,0.718,70.56,0.7056,35.69,0.3569
order_1049,90.34,0.9034,34,0.3778,97.97,0.9797,88.29,0.8829,26.27,0.2627
order_105,59.38,0.5938,40,0.4444,80.12,0.8012,72.25,0.7225,34.26,0.3426
order_1050,73.34,0.7334,38,0.4222,71.87,0.7187,76.8,0.768,40.14,0.4014
order_1051,69.46,0.6946,46,0.5111,78.15,0.7815,76.5,0.765,41.78,0.4178
order_1052,87.51,0.8751,31,0.3444,95.87,0.9587,93.83,0.9383,21.96,0.2196
order_1053,90.35,0.9035,35,0.3889,92.52,0.9252,93.64,0.9364,21.6,0.216
order_1054,89.35,0.8935,35,0.3889,96.06,0.9606,94.44,0.9444,24.61,0.2461
order_1055,75.17,0.7517,45,0.5,73.83,0.7383,72.59,0.7259,37.22,0.3722
order_1056,75.78,0.7578,45,0.5,70.27,0.7027,86.74,0.8674,31.96,0.3196
order_1057,86.36,0.8636,35,0.3889,95.98,0.9598,93.87,0.9387,23.26,0.2326
order_1058,89.96,0.8996,30,0.3333,94.19,0.9419,89.97,0.8997,23.95,0.2395
order_1059,89.56,0.8956,30,0.3333,93.2,0.932,93.24,0.9324,20.87,0.2087
order_106,87.53,0.8753,33,0.3667,94.61,0.9461,90.48,0.9048,21.06,0.2106
order_1060,76.86,0.7686,32,0.3556,66.15,0.6615,64.25,0.6425,36.72,0.3672
order_1061,77.49,0.7749,50,0.5556,82.0,0.82,68.72,0.6872,37.89,0.3789
order_1062,86.99,0.8699,32,0.3556,93.28,0.9328,92.97,0.9297,20.35,0.2035
order_1063,91.56,0.9156,36,0.4,93.73,0.9373,93.21,0.9321,23.38,0.2338
order_1064,71.79,0.7179,42,0.4667,76.09,0.7609,70.78,0.7078,33.36,0.3336
order_1065,90.07,0.9007,33,0.3667,97.63,0.9763,94.88,0.9488,26.31,0.2631
order_1066,87.7,0.877,34,0.3778,94.46,0.9446,98.57,0.9857,20.38,0.2038
order_1067,87.48,0.8748,31,0.3444,88.69,0.8869,90.42,0.9042,20.48,0.2048
order_1068,90.45,0.9045,33,0.3667,98.69,0.9869,94.85,0.9485,20.85,0.2085
order_1069,67.81,0.6781,44,0.4889,66.76,0.6676,84.65,0.8465,45.08,0.4508
order_107,71.25,0.7125,31,0.3444,85.48,0.8548,69.08,0.6908,45.43,0.4543
order_1070,85.22,0.8522,31,0.3444,94.01,0.9401,92.14,0.9214,21.1,0.211
order_1071,91.87,0.9187,29,0.3222,93.64,0.9364,92.36,0.9236,23.03,0.2303
order_1072,80.69,0.8069,34,0.3778,65.26,0.6526,80.22,0.8022,39.99,0.3999
order_1073,69.01,0.6901,50,0.5556,76.81,0.7681,79.43,0.7943,38.41,0.3841
order_1074,96.18,0.9618,36,0.4,93.38,0.9338,94.91,0.9491,23.29,0.2329
order_1075,94.11,0.9411,30,0.3333,95.72,0.9572,95.18,0.9518,18.48,0.1848
order_1076,65.53,0.6553,29,0.3222,74.11,0.7411,75.74,0.7574,47.01,0.4701
order_1077,90.22,0.9022,36,0.4,90.55,0.9055,86.89,0.8689,21.89,0.2189
order_1078,91.15,0.9115,32,0.3556,88.83,0.8883,91.73,0.9173,19.39,0.1939
order_1079,92.01,0.9201,33,0.3667,91.65,0.9165,90.46,0.9046,19.88,0.1988
order_108,74.5,0.745,47,0.5222,69.1,0.691,74.03,0.7403,34.82,0.3482
order_1080,87.62,0.8762,32,0.3556,91.41,0.9141,90.34,0.9034,19.6,0.196
order_1081,95.89,0.9589,32,0.3556,92.25,0.9225,92.64,0.9264,21.78,0.2178
order_1082,89.34,0.8934,34,0.3778,95.89,0.9589,90.41,0.9041,20.85,0.2085
order_1083,89.17,0.8917,26,0.2889,90.21,0.9021,96.1,0.961,25.29,0.2529
order_1084,89.25,0.8925,33,0.3667,94.78,0.9478,100.0,1.0,24.24,0.2424
order_1085,89.62,0.8962,30,0.3333,89.98,0.8998,92.61,0.9261,20.49,0.2049
order_1086,85.73,0.8573,30,0.3333,91.3,0.913,97.06,0.9706,23.76,0.2376
order_1087,89.98,0.8998,36,0.4,94.19,0.9419,89.42,0.8942,25.05,0.2505
order_1088,91.62,0.9162,29,0.3222,93.52,0.9352,89.37,0.8937,19.23,0.1923
order_1089,92.78,0.9278,37,0.4111,90.5,0.905,93.69,0.9369,20.7,0.207
order_109,71.1,0.711,37,0.4111,69.95,0.6995,70.39,0.7039,33.01,0.3301
order_1090,90.81,0.9081,32,0.3556,93.4,0.934,89.28,0.8928,20.85,0.2085
order_1091,81.04,0.8104,44,0.4889,69.16,0.6916,70.79,0.7079,42.51,0.4251
order_1092,61.64,0.6164,44,0.4889,71.36,0.7136,74.56,0.7456,33.42,0.3342
order_1093,84.59,0.8459,28,0.3111,94.12,0.9412,92.78,0.9278,20.19,0.2019
order_1094,91.92,0.9192,28,0.3111,93.83,0.9383,88.37,0.8837,20.7,0.207
order_1095,90.14,0.9014,30,0.3333,93.04,0.9304,95.02,0.9502,20.85,0.2085
order_1096,81.69,0.8169,34,0.3778,79.71,0.7971,81.53,0.8153,23.17,0.2317
order_1097,87.61,0.8761,33,0.3667,93.49,0.9349,93.11,0.9311,20.79,0.2079
order_1098,90.26,0.9026,32,0.3556,96.92,0.9692,92.76,0.9276,22.68,0.2268
order_1099,88.76,0.8876,31,0.3444,92.92,0.9292,93.18,0.9318,21.16,0.2116
order_11,90.87,0.9087,37,0.4111,96.18,0.9618,91.02,0.9102,24.4,0.244
order_110,88.78,0.8878,27,0.3,91.48,0.9148,86.39,0.8639,21.3,0.213
order_1100,75.15,0.7515,51,0.5667,78.29,0.7829,68.25,0.6825,42.98,0.4298
order_1101,83.37,0.8337,33,0.3667,95.93,0.9593,87.56,0.8756,24.29,0.2429
order_1102,91.02,0.9102,31,0.3444,95.58,0.9558,98.81,0.9881,22.36,0.2236
order_1103,90.74,0.9074,31,0.3444,91.88,0.9188,94.49,0.9449,20.29,0.2029
order_1104,75.57,0.7557,38,0.4222,79.35,0.7935,72.67,0.7267,44.23,0.4423
order_1105,88.47,0.8847,31,0.3444,91.55,0.9155,90.67,0.9067,22.75,0.2275
order_1106,92.27,0.9227,30,0.3333,96.17,0.9617,96.07,0.9607,22.83,0.2283
order_1107,90.01,0.9001,36,0.4,67.29,0.6729,55.77,0.5577,46.98,0.4698
order_1108,80.23,0.8023,41,0.4556,77.96,0.7796,61.0,0.61,52.67,0.5267
order_1109,90.39,0.9039,32,0.3556,95.81,0.9581,93.44,0.9344,22.45,0.2245
order_111,87.63,0.8763,33,0.3667,98.71,0.9871,96.04,0.9604,25.19,0.2519
order_1110,88.47,0.8847,30,0.3333,93.69,0.9369,92.17,0.9217,24.19,0.2419
order_1111,84.92,0.8492,36,0.4,93.6,0.936,90.72,0.9072,19.98,0.1998
order_1112,85.04,0.8504,34,0.3778,94.18,0.9418,88.13,0.8813,19.41,0.1941
order_1113,88.99,0.8899,36,0.4,93.35,0.9335,87.49,0.8749,21.51,0.2151
order_1114,89.18,0.8918,25,0.2778,93.86,0.9386,91.31,0.9131,23.39,0.2339
order_1115,95.55,0.9555,35,0.3889,93.33,0.9333,88.68,0.8868,27.15,0.2715
order_1116,90.18,0.9018,32,0.3556,93.94,0.9394,92.59,0.9259,21.71,0.2171
order_1117,88.28,0.8828,31,0.3444,93.92,0.9392,90.37,0.9037,20.57,0.2057
order_1118,90.32,0.9032,31,0.3444,97.76,0.9776,84.05,0.8405,24.18,0.2418
order_1119,84.97,0.8497,29,0.3222,73.6,0.736,67.03,0.6703,29.55,0.2955
order_112,68.78,0.6878,34,0.3778,88.27,0.8827,77.49,0.7749,45.63,0.4563
order_1120,80.77,0.8077,34,0.3778,72.33,0.7233,73.91,0.7391,30.67,0.3067
order_1121,92.14,0.9214,31,0.3444,93.06,0.9306,94.13,0.9413,22.89,0.2289
order_1122,88.92,0.8892,35,0.3889,91.3,0.913,93.85,0.9385,23.19,0.2319
order_1123,89.07,0.8907,33,0.3667,90.87,0.9087,94.77,0.9477,21.63,0.2163
order_1124,88.43,0.8843,35,0.3889,92.24,0.9224,87.77,0.8777,18.89,0.1889
order_1125,91.82,0.9182,29,0.3222,98.39,0.9839,85.75,0.8575,25.39,0.2539
order_1126,76.69,0.7669,40,0.4444,72.19,0.7219,73.19,0.7319,37.77,0.3777
order_1127,83.83,0.8383,42,0.4667,77.05,0.7705,67.09,0.6709,37.66,0.3766
order_1128,77.46,0.7746,31,0.3444,66.56,0.6656,75.95,0.7595,39.03,0.3903
order_1129,89.45,0.8945,32,0.3556,94.87,0.9487,90.38,0.9038,20.44,0.2044
order_113,90.59,0.9059,30,0.3333,95.02,0.9502,86.89,0.8689,24.06,0.2406
order_1130,91.42,0.9142,33,0.3667,96.46,0.9646,97.0,0.97,24.03,0.2403
order_1131,84.48,0.8448,29,0.3222,92.44,0.9244,92.08,0.9208,23.04,0.2304
order_1132,87.82,0.8782,32,0.3556,92.11,0.9211,90.17,0.9017,19.19,0.1919
order_1133,87.23,0.8723,29,0.3222,91.56,0.9156,95.16,0.9516,20.1,0.201
order_1134,97.9,0.979,33,0.3667,94.46,0.9446,89.42,0.8942,23.4,0.234
order_1135,70.39,0.7039,42,0.4667,93.92,0.9392,69.23,0.6923,44.9,0.449
order_1136,69.37,0.6937,41,0.4556,88.4,0.884,64.98,0.6498,48.87,0.4887
order_1137,92.12,0.9212,31,0.3444,95.58,0.9558,94.92,0.9492,23.24,0.2324
order_1138,85.29,0.8529,30,0.3333,93.38,0.9338,91.78,0.9178,23.24,0.2324
order_1139,90.53,0.9053,29,0.3222,94.95,0.9495,93.83,0.9383,23.12,0.2312
order_114,93.24,0.9324,34,0.3778,95.15,0.9515,91.79,0.9179,18.68,0.1868
order_1140,91.29,0.9129,33,0.3667,94.68,0.9468,88.17,0.8817,19.84,0.1984
order_1141,83.43,0.8343,41,0.4556,80.77,0.8077,70.23,0.7023,38.18,0.3818
order_1142,82.51,0.8251,38,0.4222,76.67,0.7667,66.3,0.663,35.39,0.3539
order_1143,72.53,0.7253,42,0.4667,72.65,0.7265,80.05,0.8005,32.63,0.3263
order_1144,73.51,0.7351,38,0.4222,86.13,0.8613,71.57,0.7157,44.19,0.4419
order_1145,85.54,0.8554,33,0.3667,96.22,0.9622,92.25,0.9225,24.13,0.2413
order_1146,88.45,0.8845,36,0.4,99.75,0.9975,90.91,0.9091,21.11,0.2111
order_1147,94.36,0.9436,36,0.4,92.69,0.9269,90.74,0.9074,21.44,0.2144
order_1148,85.97,0.8597,30,0.3333,91.49,0.9149,89.7,0.897,21.93,0.2193
order_1149,90.7,0.907,36,0.4,91.5,0.915,94.95,0.9495,21.57,0.2157
order_115,89.85,0.8985,34,0.3778,91.19,0.9119,93.15,0.9315,22.33,0.2233
order_1150,91.48,0.9148,33,0.3667,100.0,1.0,90.09,0.9009,20.94,0.2094
order_1151,88.13,0.8813,31,0.3444,92.41,0.9241,95.57,0.9557,24.84,0.2484
order_1152,70.43,0.7043,36,0.4,79.3,0.793,65.58,0.6558,41.8,0.418
order_1153,90.61,0.9061,28,0.3111,97.87,0.9787,97.39,0.9739,20.77,0.2077
order_1154,88.84,0.8884,33,0.3667,94.84,0.9484,93.98,0.9398,26.02,0.2602
order_1155,89.47,0.8947,30,0.3333,90.55,0.9055,89.81,0.8981,21.93,0.2193
order_1156,95.38,0.9538,31,0.3444,94.56,0.9456,91.95,0.9195,24.38,0.2438
order_1157,97.58,0.9758,31,0.3444,92.78,0.9278,95.13,0.9513,23.36,0.2336
order_1158,95.54,0.9554,33,0.3667,93.1,0.931,93.77,0.9377,24.22,0.2422
order_1159,92.46,0.9246,33,0.3667,96.67,0.9667,95.51,0.9551,24.76,0.2476
order_116,91.95,0.9195,32,0.3556,94.37,0.9437,95.62,0.9562,20.37,0.2037
order_1160,77.95,0.7795,39,0.4333,76.2,0.762,80.23,0.8023,39.15,0.3915
order_1161,90.14,0.9014,29,0.3222,95.87,0.9587,93.94,0.9394,26.33,0.2633
order_1162,89.08,0.8908,33,0.3667,94.62,0.9462,96.73,0.9673,21.81,0.2181
order_1163,77.23,0.7723,45,0.5,77.31,0.7731,66.43,0.6643,39.16,0.3916
order_1164,93.22,0.9322,29,0.3222,94.33,0.9433,89.9,0.899,24.39,0.2439
order_1165,85.43,0.8543,31,0.3444,94.94,0.9494,96.7,0.967,21.87,0.2187
order_1166,70.56,0.7056,52,0.5778,65.86,0.6586,55.0,0.55,40.64,0.4064
order_1167,88.49,0.8849,29,0.3222,95.77,0.9577,92.73,0.9273,20.87,0.2087
order_1168,86.16,0.8616,34,0.3778,95.63,0.9563,91.7,0.917,25.69,0.2569
order_1169,66.44,0.6644,32,0.3556,71.16,0.7116,69.64,0.6964,39.46,0.3946
order_117,73.07,0.7307,43,0.4778,67.24,0.6724,81.55,0.8155,37.51,0.3751
order_1170,83.94,0.8394,43,0.4778,79.2,0.792,74.56,0.7456,40.69,0.4069
order_1171,80.14,0.8014,49,0.5444,77.38,0.7738,75.67,0.7567,37.46,0.3746
order_1172,86.52,0.8652,37,0.4111,88.61,0.8861,69.68,0.6968,29.42,0.2942
order_1173,76.02,0.7602,37,0.4111,81.88,0.8188,64.78,0.6478,35.32,0.3532
order_1174,84.33,0.8433,31,0.3444,87.94,0.8794,87.25,0.8725,23.52,0.2352
order_1175,92.36,0.9236,33,0.3667,91.58,0.9158,91.86,0.9186,21.99,0.2199
order_1176,65.73,0.6573,50,0.5556,82.14,0.8214,68.23,0.6823,38.16,0.3816
order_1177,90.63,0.9063,27,0.3,93.38,0.9338,89.95,0.8995,20.0,0.2
order_1178,89.16,0.8916,36,0.4,95.6,0.956,90.29,0.9029,23.15,0.2315
order_1179,94.2,0.942,34,0.3778,94.15,0.9415,90.06,0.9006,23.4,0.234
order_118,78.15,0.7815,46,0.5111,80.45,0.8045,78.4,0.784,34.79,0.3479
order_1180,93.95,0.9395,32,0.3556,99.19,0.9919,89.93,0.8993,25.47,0.2547
order_1181,90.59,0.9059,30,0.3333,92.79,0.9279,91.04,0.9104,22.85,0.2285
order_1182,91.57,0.9157,31,0.3444,93.94,0.9394,98.43,0.9843,25.46,0.2546
order_1183,91.31,0.9131,32,0.3556,94.3,0.943,93.84,0.9384,19.95,0.1995
order_1184,89.23,0.8923,28,0.3111,95.0,0.95,93.94,0.9394,21.03,0.2103
order_1185,94.72,0.9472,29,0.3222,90.34,0.9034,92.67,0.9267,24.09,0.2409
order_1186,95.05,0.9505,31,0.3444,96.7,0.967,91.88,0.9188,21.65,0.2165
order_1187,92.65,0.9265,34,0.3778,90.06,0.9006,96.43,0.9643,24.76,0.2476
order_1188,70.0,0.7,43,0.4778,79.46,0.7946,72.09,0.7209,34.7,0.347
order_1189,87.99,0.8799,32,0.3556,96.93,0.9693,93.63,0.9363,21.26,0.2126
order_119,81.17,0.8117,24,0.2667,84.04,0.8404,56.08,0.5608,35.83,0.3583
order_1190,86.64,0.8664,29,0.3222,96.9,0.969,90.6,0.906,22.69,0.2269
order_1191,89.86,0.8986,33,0.3667,94.19,0.9419,88.15,0.8815,23.99,0.2399
order_1192,88.52,0.8852,28,0.3111,92.93,0.9293,96.5,0.965,23.7,0.237
order_1193,88.95,0.8895,31,0.3444,93.2,0.932,98.23,0.9823,22.76,0.2276
order_1194,91.29,0.9129,35,0.3889,94.6,0.946,91.22,0.9122,21.61,0.2161
order_1195,74.43,0.7443,41,0.4556,81.09,0.8109,70.42,0.7042,42.4,0.424
order_1196,89.76,0.8976,32,0.3556,89.0,0.89,94.75,0.9475,22.69,0.2269
order_1197,92.99,0.9299,25,0.2778,99.22,0.9922,91.58,0.9158,24.22,0.2422
order_1198,86.88,0.8688,34,0.3778,91.37,0.9137,90.13,0.9013,25.83,0.2583
order_1199,89.43,0.8943,33,0.3667,96.18,0.9618,93.49,0.9349,22.3,0.223
order_12,91.09,0.9109,38,0.4222,93.86,0.9386,92.6,0.926,24.1,0.241
order_120,93.32,0.9332,35,0.3889,95.6,0.956,88.57,0.8857,25.27,0.2527
order_1200,86.56,0.8656,33,0.3667,92.11,0.9211,91.81,0.9181,22.66,0.2266
order_1201,90.96,0.9096,33,0.3667,98.03,0.9803,93.36,0.9336,21.51,0.2151
order_1202,82.71,0.8271,48,0.5333,67.41,0.6741,74.78,0.7478,42.21,0.4221
order_1203,89.11,0.8911,35,0.3889,93.62,0.9362,92.38,0.9238,21.65,0.2165
order_1204,75.12,0.7512,34,0.3778,65.92,0.6592,82.76,0.8276,32.92,0.3292
order_1205,87.03,0.8703,27,0.3,92.4,0.924,88.03,0.8803,25.28,0.2528
order_1206,83.08,0.8308,37,0.4111,91.77,0.9177,77.85,0.7785,36.05,0.3605
order_1207,82.5,0.825,38,0.4222,90.53,0.9053,87.06,0.8706,24.05,0.2405
order_1208,97.32,0.9732,35,0.3889,95.41,0.9541,93.78,0.9378,23.71,0.2371
order_1209,81.07,0.8107,43,0.4778,76.73,0.7673,69.5,0.695,33.48,0.3348
order_121,89.16,0.8916,28,0.3111,93.75,0.9375,89.03,0.8903,19.79,0.1979
order_1210,90.54,0.9054,35,0.3889,96.3,0.963,87.29,0.8729,20.02,0.2002
order_1211,92.82,0.9282,30,0.3333,93.44,0.9344,93.65,0.9365,20.06,0.2006
order_1212,90.32,0.9032,29,0.3222,92.5,0.925,92.96,0.9296,18.81,0.1881
order_1213,78.52,0.7852,41,0.4556,79.87,0.7987,71.79,0.7179,46.18,0.4618
order_1214,90.38,0.9038,31,0.3444,94.31,0.9431,93.63,0.9363,22.1,0.221
order_1215,90.12,0.9012,30,0.3333,92.34,0.9234,87.79,0.8779,25.5,0.255
order_1216,86.27,0.8627,30,0.3333,92.2,0.922,94.68,0.9468,21.41,0.2141
order_1217,93.74,0.9374,30,0.3333,94.7,0.947,89.49,0.8949,26.29,0.2629
order_1218,65.5,0.655,43,0.4778,80.44,0.8044,73.31,0.7331,36.89,0.3689
order_1219,73.96,0.7396,41,0.4556,74.97,0.7497,77.71,0.7771,51.26,0.5126
order_122,88.33,0.8833,29,0.3222,93.78,0.9378,99.74,0.9974,20.39,0.2039
order_1220,94.92,0.9492,36,0.4,92.62,0.9262,93.71,0.9371,25.26,0.2526
order_1221,88.86,0.8886,31,0.3444,92.55,0.9255,88.96,0.8896,20.7,0.207
order_1222,65.21,0.6521,41,0.4556,70.61,0.7061,71.87,0.7187,28.66,0.2866
order_1223,90.99,0.9099,34,0.3778,89.02,0.8902,93.12,0.9312,24.46,0.2446
order_1224,65.32,0.6532,51,0.5667,78.93,0.7893,64.36,0.6436,37.67,0.3767
order_1225,91.67,0.9167,32,0.3556,95.35,0.9535,89.24,0.8924,22.34,0.2234
order_1226,85.76,0.8576,32,0.3556,91.74,0.9174,89.79,0.8979,24.47,0.2447
order_1227,83.73,0.8373,45,0.5,68.35,0.6835,67.47,0.6747,45.28,0.4528
order_1228,90.43,0.9043,38,0.4222,94.98,0.9498,92.58,0.9258,21.38,0.2138
order_1229,90.4,0.904,32,0.3556,95.77,0.9577,94.87,0.9487,20.43,0.2043
order_123,64.35,0.6435,30,0.3333,79.56,0.7956,61.17,0.6117,25.08,0.2508
order_1230,91.17,0.9117,38,0.4222,93.98,0.9398,94.52,0.9452,22.16,0.2216
order_1231,89.7,0.897,34,0.3778,93.27,0.9327,92.8,0.928,22.64,0.2264
order_1232,69.66,0.6966,47,0.5222,74.78,0.7478,63.95,0.6395,41.22,0.4122
order_1233,87.3,0.873,32,0.3556,93.98,0.9398,95.26,0.9526,22.95,0.2295
order_1234,89.92,0.8992,34,0.3778,97.48,0.9748,93.67,0.9367,22.02,0.2202
order_1235,86.06,0.8606,29,0.3222,93.24,0.9324,90.17,0.9017,21.63,0.2163
order_1236,75.45,0.7545,44,0.4889,75.51,0.7551,73.89,0.7389,38.39,0.3839
order_1237,59.2,0.592,35,0.3889,74.99,0.7499,60.32,0.6032,41.6,0.416
order_1238,94.59,0.9459,35,0.3889,93.47,0.9347,96.47,0.9647,22.3,0.223
order_1239,88.99,0.8899,30,0.3333,93.24,0.9324,90.84,0.9084,22.34,0.2234
order_124,76.28,0.7628,41,0.4556,79.06,0.7906,79.53,0.7953,43.7,0.437
order_1240,85.55,0.8555,26,0.2889,96.34,0.9634,87.9,0.879,21.55,0.2155
order_1241,86.49,0.8649,27,0.3,95.35,0.9535,94.28,0.9428,20.85,0.2085
order_1242,82.23,0.8223,31,0.3444,94.98,0.9498,87.56,0.8756,22.37,0.2237
order_1243,89.95,0.8995,33,0.3667,94.3,0.943,89.08,0.8908,24.39,0.2439
order_1244,89.52,0.8952,32,0.3556,91.67,0.9167,90.67,0.9067,20.23,0.2023
order_1245,89.48,0.8948,36,0.4,90.57,0.9057,87.16,0.8716,24.94,0.2494
order_1246,73.33,0.7333,37,0.4111,83.28,0.8328,65.16,0.6516,48.96,0.4896
order_1247,80.42,0.8042,38,0.4222,91.1,0.911,65.15,0.6515,42.45,0.4245
order_1248,90.9,0.909,35,0.3889,97.9,0.979,92.1,0.921,20.49,0.2049
order_1249,91.38,0.9138,30,0.3333,99.03,0.9903,92.41,0.9241,21.27,0.2127
order_125,90.55,0.9055,29,0.3222,91.57,0.9157,95.6,0.956,20.69,0.2069
order_1250,86.86,0.8686,33,0.3667,96.96,0.9696,94.16,0.9416,23.99,0.2399
order_1251,87.73,0.8773,28,0.3111,97.75,0.9775,91.03,0.9103,21.5,0.215
order_1252,93.98,0.9398,33,0.3667,95.14,0.9514,98.5,0.985,20.71,0.2071
order_1253,92.78,0.9278,32,0.3556,94.67,0.9467,96.59,0.9659,23.02,0.2302
order_1254,91.61,0.9161,35,0.3889,93.09,0.9309,89.48,0.8948,19.91,0.1991
order_1255,84.1,0.841,37,0.4111,91.24,0.9124,91.34,0.9134,21.45,0.2145
order_1256,77.46,0.7746,46,0.5111,82.02,0.8202,65.34,0.6534,37.0,0.37
order_1257,77.26,0.7726,40,0.4444,87.25,0.8725,73.93,0.7393,42.41,0.4241
order_1258,91.99,0.9199,35,0.3889,94.45,0.9445,88.11,0.8811,22.8,0.228
order_1259,88.05,0.8805,31,0.3444,95.47,0.9547,95.71,0.9571,22.04,0.2204
